Mfg#,Upc#,Case,GTIN  ,Description,Uom,Pack,Size,Category,Customer Price,Qty Available
35000,97159,97159,035000971593,COLG OPTIC WHITE ICY FRESH                                       ,CS,24,3.2 OZ      ,Grocery- other                ,$99.50,180
35000,97165,97165,035000971654,COLG OPTIC WHITE VIBRANT CLN                                     ,CS,24,3.2 OZ      ,Grocery- other                ,$115.92,172
35000,98414,98414,035000984142,COLG TOT GUM PROTECTION TP                                       ,CS,24,4.8 OZ      ,Grocery- other                ,$54.13,306
36000,54150,54150,036000541502,CTTNL ULTRACLEAN MR BATH                                         ,CS,6,6 ROLL      ,Grocery- other                ,$43.28,288
36000,54151,54151,036000541519,COTTONELLE BATH TISSUE CLNCARE                                   ,CS,4,12 RL       ,Grocery- other                ,$50.15,324
36000,54165,54165,036000541656,COTTONELLE BATH TISSUE CC MEGA                                   ,CS,4,12 RL       ,Grocery- other                ,$50.15,360
36000,54167,54167,036000541670,CTTNL LTRCMFRT MR BTH TI                                         ,CS,6,6 ROLL      ,Grocery- other                ,$43.28,720
36200,00217,00217,036200002179,Ragu Roasted Garlic Pasta Sauce                                  ,CS,12,16 OZ       ,Soup/Sauces/Canned Meals/Meats,$25.13,98
36200,00250,00250,036200002506,Ragu Old Wrld Stl Traditional                                    ,CS,12,24 OZ       ,Soup/Sauces/Canned Meals/Meats,$26.57,1869
36200,00300,00300,036200003008,Ragu Old Wrld Stl Meat                                           ,CS,12,23.9 OZ     ,Soup/Sauces/Canned Meals/Meats,$24.88,814
36200,00350,00350,036200003503,Ragu Old Wrld Stl Mushroom                                       ,CS,12,23.9 OZ     ,Soup/Sauces/Canned Meals/Meats,$25.57,495
36200,00440,00440,036200004401,Ragu Cnky Sc Tom/Gar/Onion                                       ,CS,12,24 OZ       ,Soup/Sauces/Canned Meals/Meats,$25.57,850
36200,00441,00441,036200004418,Ragu Chunky Saucec Gr Pep Mush                                   ,CS,12,24 OZ       ,Soup/Sauces/Canned Meals/Meats,$25.57,764
36200,00444,00444,036200004449,Ragu Spag Sauce Garden Combo                                     ,CS,12,24 OZ       ,Soup/Sauces/Canned Meals/Meats,$25.57,111
36200,00445,00445,036200004456,Ragu Super Mushroom                                              ,CS,12,24 OZ       ,Soup/Sauces/Canned Meals/Meats,$25.57,110
36200,00464,00464,036200004647,Ragu Parmesan Spag Sauce                                         ,CS,12,24 OZ       ,Soup/Sauces/Canned Meals/Meats,$25.57,759
